Id,Module,pc,Label
111,1,0.787499,CC200_ROI_112
112,3,0.813188,CC200_ROI_113
113,3,0.824010,CC200_ROI_114
114,3,0.832542,CC200_ROI_115
115,4,0.812225,CC200_ROI_116
116,4,0.818068,CC200_ROI_117
117,6,0.837780,CC200_ROI_118
118,4,0.820611,CC200_ROI_119
119,6,0.817802,CC200_ROI_120
120,4,0.806177,CC200_ROI_121
121,1,0.806982,CC200_ROI_122
122,5,0.824475,CC200_ROI_123
123,3,0.822122,CC200_ROI_124
124,3,0.835714,CC200_ROI_125
125,6,0.822883,CC200_ROI_126
126,3,0.805625,CC200_ROI_127
127,4,0.813292,CC200_ROI_128
128,1,0.801790,CC200_ROI_129
129,1,0.785375,CC200_ROI_130
130,2,0.800074,CC200_ROI_131
131,2,0.824156,CC200_ROI_132
132,1,0.760284,CC200_ROI_133
133,5,0.821094,CC200_ROI_134
134,7,0.833344,CC200_ROI_135
135,5,0.826693,CC200_ROI_136
136,4,0.826347,CC200_ROI_137
137,2,0.813329,CC200_ROI_138
138,1,0.769874,CC200_ROI_139
139,1,0.754429,CC200_ROI_140
140,1,0.810922,CC200_ROI_141
141,2,0.801407,CC200_ROI_142
142,2,0.829369,CC200_ROI_143
143,4,0.825185,CC200_ROI_144
144,1,0.795033,CC200_ROI_145
145,4,0.822246,CC200_ROI_146
146,2,0.825615,CC200_ROI_147
147,7,0.827329,CC200_ROI_148
148,3,0.802554,CC200_ROI_149
149,2,0.825344,CC200_ROI_150
150,3,0.823848,CC200_ROI_151
151,6,0.833618,CC200_ROI_152
152,1,0.808010,CC200_ROI_153
153,4,0.823774,CC200_ROI_154
154,1,0.794799,CC200_ROI_155
155,3,0.827229,CC200_ROI_156
156,4,0.825369,CC200_ROI_157
157,2,0.818918,CC200_ROI_158
158,2,0.818638,CC200_ROI_159
159,1,0.758929,CC200_ROI_160
160,5,0.834299,CC200_ROI_161
161,6,0.824600,CC200_ROI_162
162,5,0.830849,CC200_ROI_163
163,3,0.827361,CC200_ROI_164
164,4,0.823946,CC200_ROI_165
165,3,0.797417,CC200_ROI_166
166,3,0.823512,CC200_ROI_167
167,3,0.833362,CC200_ROI_168
168,3,0.806177,CC200_ROI_169
169,2,0.813913,CC200_ROI_170
170,5,0.822700,CC200_ROI_171
171,2,0.816892,CC200_ROI_172
172,1,0.791313,CC200_ROI_173
173,1,0.766418,CC200_ROI_174
174,2,0.816261,CC200_ROI_175
175,6,0.827460,CC200_ROI_176
176,2,0.811556,CC200_ROI_177
177,4,0.836708,CC200_ROI_178
178,2,0.812802,CC200_ROI_179
179,5,0.818096,CC200_ROI_180
180,1,0.770264,CC200_ROI_181
181,5,0.833203,CC200_ROI_182
182,3,0.812820,CC200_ROI_183
183,4,0.823823,CC200_ROI_184
184,4,0.819038,CC200_ROI_185
185,1,0.771718,CC200_ROI_186
186,1,0.808410,CC200_ROI_187
187,5,0.820859,CC200_ROI_188
188,2,0.816110,CC200_ROI_189
189,6,0.815333,CC200_ROI_190
190,1,0.797728,CC200_ROI_191
191,6,0.831289,CC200_ROI_192
192,1,0.772554,CC200_ROI_193
193,6,0.822936,CC200_ROI_194
194,2,0.820417,CC200_ROI_195
195,1,0.815844,CC200_ROI_196
196,5,0.832349,CC200_ROI_197
197,1,0.812333,CC200_ROI_198
198,6,0.789354,CC200_ROI_199
199,4,0.820162,CC200_ROI_200
