Id,Module,pc,Label
119,6,0.818925,CC200_ROI_120
120,4,0.796076,CC200_ROI_121
121,1,0.808169,CC200_ROI_122
122,5,0.830737,CC200_ROI_123
123,3,0.822671,CC200_ROI_124
124,3,0.837428,CC200_ROI_125
125,6,0.825792,CC200_ROI_126
126,3,0.801274,CC200_ROI_127
127,4,0.812137,CC200_ROI_128
128,1,0.804409,CC200_ROI_129
129,1,0.794332,CC200_ROI_130
130,2,0.791345,CC200_ROI_131
131,2,0.824505,CC200_ROI_132
132,1,0.764831,CC200_ROI_133
133,5,0.825291,CC200_ROI_134
134,7,0.835902,CC200_ROI_135
135,5,0.828972,CC200_ROI_136
136,4,0.827715,CC200_ROI_137
137,2,0.814612,CC200_ROI_138
138,1,0.773205,CC200_ROI_139
139,1,0.758965,CC200_ROI_140
140,1,0.804675,CC200_ROI_141
141,2,0.795062,CC200_ROI_142
142,2,0.832926,CC200_ROI_143
143,4,0.825347,CC200_ROI_144
144,1,0.790725,CC200_ROI_145
145,4,0.823372,CC200_ROI_146
146,2,0.825349,CC200_ROI_147
147,7,0.834449,CC200_ROI_148
148,3,0.798215,CC200_ROI_149
149,2,0.831987,CC200_ROI_150
150,3,0.822203,CC200_ROI_151
151,6,0.836729,CC200_ROI_152
152,1,0.808167,CC200_ROI_153
153,4,0.830028,CC200_ROI_154
154,1,0.791870,CC200_ROI_155
155,3,0.826450,CC200_ROI_156
156,4,0.831240,CC200_ROI_157
157,2,0.820309,CC200_ROI_158
158,2,0.820706,CC200_ROI_159
159,1,0.752157,CC200_ROI_160
160,5,0.838182,CC200_ROI_161
161,6,0.825236,CC200_ROI_162
162,5,0.831637,CC200_ROI_163
163,3,0.824482,CC200_ROI_164
164,4,0.825519,CC200_ROI_165
165,3,0.794006,CC200_ROI_166
166,3,0.827660,CC200_ROI_167
167,3,0.835825,CC200_ROI_168
168,3,0.797515,CC200_ROI_169
169,2,0.811940,CC200_ROI_170
170,5,0.826151,CC200_ROI_171
171,2,0.814485,CC200_ROI_172
172,1,0.783993,CC200_ROI_173
173,1,0.762177,CC200_ROI_174
174,2,0.817764,CC200_ROI_175
175,6,0.831004,CC200_ROI_176
176,2,0.810561,CC200_ROI_177
177,4,0.836656,CC200_ROI_178
178,2,0.808823,CC200_ROI_179
179,5,0.818259,CC200_ROI_180
180,1,0.762939,CC200_ROI_181
181,5,0.836813,CC200_ROI_182
182,3,0.814775,CC200_ROI_183
183,4,0.824382,CC200_ROI_184
184,4,0.817396,CC200_ROI_185
185,1,0.776863,CC200_ROI_186
186,1,0.807534,CC200_ROI_187
187,5,0.824808,CC200_ROI_188
188,2,0.812948,CC200_ROI_189
189,6,0.814302,CC200_ROI_190
190,1,0.796558,CC200_ROI_191
191,6,0.832457,CC200_ROI_192
192,1,0.780084,CC200_ROI_193
193,6,0.828564,CC200_ROI_194
194,2,0.823486,CC200_ROI_195
195,1,0.819975,CC200_ROI_196
196,5,0.835013,CC200_ROI_197
197,1,0.814271,CC200_ROI_198
198,6,0.791955,CC200_ROI_199
199,4,0.820439,CC200_ROI_200
