Id,Module,pc,Label
59,5,0.827059,CC200_ROI_060
60,3,0.798525,CC200_ROI_061
61,1,0.801485,CC200_ROI_062
62,2,0.829737,CC200_ROI_063
63,5,0.825575,CC200_ROI_064
64,5,0.829503,CC200_ROI_065
65,4,0.806157,CC200_ROI_066
66,4,0.821049,CC200_ROI_067
67,6,0.839715,CC200_ROI_068
68,4,0.821693,CC200_ROI_069
69,2,0.813814,CC200_ROI_070
70,1,0.813867,CC200_ROI_071
71,1,0.721347,CC200_ROI_072
72,3,0.826454,CC200_ROI_073
73,1,0.776007,CC200_ROI_074
74,3,0.816180,CC200_ROI_075
75,5,0.832529,CC200_ROI_076
76,6,0.816290,CC200_ROI_077
77,1,0.727125,CC200_ROI_078
78,4,0.827291,CC200_ROI_079
79,6,0.821368,CC200_ROI_080
80,2,0.817532,CC200_ROI_081
81,1,0.704280,CC200_ROI_082
82,4,0.822735,CC200_ROI_083
83,7,0.833867,CC200_ROI_084
84,2,0.814181,CC200_ROI_085
85,6,0.723982,CC200_ROI_086
86,1,0.793601,CC200_ROI_087
87,4,0.806667,CC200_ROI_088
88,2,0.815207,CC200_ROI_089
89,5,0.825005,CC200_ROI_090
90,1,0.718740,CC200_ROI_091
91,1,0.806087,CC200_ROI_092
92,5,0.818688,CC200_ROI_093
93,7,0.832653,CC200_ROI_094
94,3,0.790556,CC200_ROI_095
95,5,0.824183,CC200_ROI_096
96,2,0.811359,CC200_ROI_097
97,4,0.815664,CC200_ROI_098
98,3,0.793248,CC200_ROI_099
99,2,0.823029,CC200_ROI_100
100,1,0.725900,CC200_ROI_101
101,2,0.776305,CC200_ROI_102
102,6,0.830627,CC200_ROI_103
103,1,0.746646,CC200_ROI_104
104,2,0.811726,CC200_ROI_105
105,1,0.807310,CC200_ROI_106
106,4,0.807338,CC200_ROI_107
107,2,0.810197,CC200_ROI_108
108,1,0.720800,CC200_ROI_109
109,1,0.801272,CC200_ROI_110
110,5,0.831014,CC200_ROI_111
111,1,0.777300,CC200_ROI_112
112,3,0.808686,CC200_ROI_113
113,3,0.817764,CC200_ROI_114
114,3,0.834310,CC200_ROI_115
115,4,0.800747,CC200_ROI_116
116,4,0.812230,CC200_ROI_117
117,6,0.838772,CC200_ROI_118
118,4,0.807975,CC200_ROI_119
119,6,0.810365,CC200_ROI_120
120,4,0.781711,CC200_ROI_121
121,1,0.795097,CC200_ROI_122
122,5,0.824980,CC200_ROI_123
123,3,0.819574,CC200_ROI_124
124,3,0.834502,CC200_ROI_125
125,6,0.814414,CC200_ROI_126
126,3,0.793778,CC200_ROI_127
127,4,0.792928,CC200_ROI_128
128,1,0.800469,CC200_ROI_129
129,1,0.767110,CC200_ROI_130
130,2,0.786261,CC200_ROI_131
131,2,0.821277,CC200_ROI_132
132,1,0.734043,CC200_ROI_133
133,5,0.821145,CC200_ROI_134
134,7,0.836428,CC200_ROI_135
135,5,0.827563,CC200_ROI_136
136,4,0.821782,CC200_ROI_137
137,2,0.801817,CC200_ROI_138
138,1,0.744737,CC200_ROI_139
139,1,0.724139,CC200_ROI_140
140,1,0.798157,CC200_ROI_141
141,2,0.784092,CC200_ROI_142
142,2,0.826312,CC200_ROI_143
143,4,0.824478,CC200_ROI_144
144,1,0.781108,CC200_ROI_145
145,4,0.814364,CC200_ROI_146
146,2,0.820601,CC200_ROI_147
147,7,0.826673,CC200_ROI_148
148,3,0.793654,CC200_ROI_149
149,2,0.826257,CC200_ROI_150
150,3,0.820714,CC200_ROI_151
151,6,0.833873,CC200_ROI_152
152,1,0.795495,CC200_ROI_153
153,4,0.819655,CC200_ROI_154
154,1,0.784089,CC200_ROI_155
155,3,0.824999,CC200_ROI_156
156,4,0.821823,CC200_ROI_157
157,2,0.814581,CC200_ROI_158
158,2,0.810553,CC200_ROI_159
159,1,0.736154,CC200_ROI_160
160,5,0.835306,CC200_ROI_161
161,6,0.821115,CC200_ROI_162
162,5,0.832615,CC200_ROI_163
163,3,0.827493,CC200_ROI_164
164,4,0.819424,CC200_ROI_165
165,3,0.777972,CC200_ROI_166
166,3,0.824796,CC200_ROI_167
167,3,0.833622,CC200_ROI_168
168,3,0.793765,CC200_ROI_169
169,2,0.804774,CC200_ROI_170
170,5,0.821450,CC200_ROI_171
171,2,0.809691,CC200_ROI_172
172,1,0.768890,CC200_ROI_173
173,1,0.727470,CC200_ROI_174
174,2,0.808225,CC200_ROI_175
175,6,0.827984,CC200_ROI_176
176,2,0.801060,CC200_ROI_177
177,4,0.837572,CC200_ROI_178
178,2,0.806225,CC200_ROI_179
179,5,0.811075,CC200_ROI_180
180,1,0.739890,CC200_ROI_181
181,5,0.835073,CC200_ROI_182
182,3,0.809478,CC200_ROI_183
183,4,0.816315,CC200_ROI_184
184,4,0.810253,CC200_ROI_185
185,1,0.754470,CC200_ROI_186
186,1,0.802647,CC200_ROI_187
187,5,0.818322,CC200_ROI_188
188,2,0.807822,CC200_ROI_189
189,6,0.810892,CC200_ROI_190
190,1,0.778741,CC200_ROI_191
191,6,0.827802,CC200_ROI_192
192,1,0.760467,CC200_ROI_193
193,6,0.826243,CC200_ROI_194
194,2,0.814884,CC200_ROI_195
195,1,0.820468,CC200_ROI_196
196,5,0.834384,CC200_ROI_197
197,1,0.815282,CC200_ROI_198
198,6,0.775469,CC200_ROI_199
199,4,0.811710,CC200_ROI_200
